day,cx
2020-04-20,23.47882
2020-04-21,25.493763
2020-04-22,23.963396
2020-04-23,24.032333
2020-04-24,25.049685
2020-04-25,22.952278
2020-04-26,18.165798
2020-04-27,24.145298
2020-04-28,23.504086
2020-04-29,24.294727
2020-04-30,26.828056
2020-05-01,20.693783
2020-05-02,26.722927
2020-05-03,18.878824
2020-05-04,24.37987
2020-05-05,24.874573
2020-05-06,23.798882
2020-05-07,26.032084
2020-05-08,34.185696
2020-05-09,51.57494
2020-05-10,20.182526
2020-05-11,27.143454
2020-05-12,26.05555
2020-05-13,26.163311
2020-05-14,29.844479
2020-05-15,27.737206
2020-05-16,32.079906
2020-05-17,24.81476
2020-05-18,25.335499
2020-05-19,25.050444
2020-05-20,29.949026
2020-05-21,41.87602
2020-05-22,34.150898
2020-05-23,36.443134
2020-05-24,24.223276
2020-05-25,27.235125
2020-05-26,25.503572
2020-05-27,26.496172
2020-05-28,27.70798
2020-05-29,34.508415
2020-05-30,63.56383
2020-05-31,58.4404
2020-06-01,51.37356
2020-06-02,31.28539
2020-06-03,30.029434
2020-06-04,29.33351
2020-06-05,31.621206
2020-06-06,37.728127
2020-06-07,28.942917
2020-06-08,30.592644
2020-06-09,29.234673
2020-06-10,30.215937
2020-06-11,34.693207
2020-06-12,39.656773
2020-06-13,40.28246
2020-06-14,30.691137
2020-06-15,30.746798
2020-06-16,30.783047
2020-06-17,31.494331
2020-06-18,30.299603
2020-06-19,33.156
2020-06-20,44.33476
2020-06-21,36.948963
2020-06-22,31.783375
2020-06-23,31.874899
2020-06-24,31.069092
2020-06-25,32.523907
2020-06-26,35.689583
2020-06-27,39.71438
2020-06-28,33.3191
2020-06-29,31.643236
2020-06-30,34.679077
2020-07-01,33.865707
2020-07-02,33.141426
2020-07-03,36.170277
2020-07-04,46.634617
2020-07-05,36.26921
2020-07-06,33.141552
2020-07-07,34.283337
2020-07-08,34.739067
2020-07-09,33.31223
2020-07-10,35.57431
2020-07-11,50.831112
2020-07-12,44.396187
2020-07-13,36.752384
2020-07-14,33.39497
2020-07-15,33.85642
2020-07-16,34.20049
2020-07-17,36.936436
2020-07-18,48.86615
2020-07-19,47.2574
2020-07-20,36.1681
2020-07-21,40.910328
2020-07-22,42.449017
2020-07-23,38.02457
2020-07-24,37.494133
2020-07-25,61.82809
2020-07-26,43.712177
2020-07-27,37.35364
2020-07-28,36.103416
2020-07-29,38.21496
2020-07-30,36.59086
2020-07-31,39.523335
2020-08-01,54.263687
2020-08-02,37.021664
2020-08-03,35.79024
2020-08-04,35.974224
2020-08-05,36.111294
2020-08-06,36.093506
2020-08-07,35.990017
2020-08-08,48.491116
2020-08-09,38.66134
2020-08-10,32.930008
2020-08-11,32.230724
2020-08-12,33.74063
2020-08-13,33.064125
2020-08-14,36.824276
